USD (AM),GBP (AM),GBP (PM),EURO (AM),EURO (PM),USD_spread,GBP_spread,EURO_spread,USD_MA7,USD_MA30,USD_volatility,year,month,dow,USD (PM)
0.00981827052079523,0.005924753609564792,0.004754866251013956,0.010749394302264043,0.00867491113757371,0.49923103809856706,0.4804457877699511,0.4804031623333389,0.008264794562095279,0.006761691980493673,0.0,2001,1,1,271.1
0.007500914745700693,0.002151785320858357,0.0008717867218338837,0.004592253357276727,0.0035787261421996452,0.4957357567284159,0.4761609163325749,0.5169711038569995,0.007031542702181953,0.005488839717287142,0.006854821197425629,2001,1,2,267.15
0.007348457128918157,0.0021086394547831233,0.0017555157275285505,0.0052345579641728535,0.003932291362868295,0.5003961318886174,0.513113354625849,0.5069810534492583,0.006610051560186264,0.005053814260241873,0.005632695904789023,2001,1,3,267.1
0.006891084278570575,0.0017588825404285802,0.0015681137346369445,0.0036508054859101524,0.002885056305710093,0.5248631014796685,0.5195955960311107,0.525529558256155,0.006446138338299073,0.004884637693613164,0.004776154966211135,2001,1,4,267.4
0.007256982558848657,0.002016839739729437,0.002042130540186232,0.0051195719646166815,0.00431995678248473,0.5318536642199695,0.5282019617386615,0.524409178771173,0.00646018804303225,0.004899138542181325,0.004138114117374386,2001,1,0,268.3
0.006738626661788039,0.0030137846452124306,0.002529926904036417,0.007003366035471387,0.0053151441675647615,0.5213678201095188,0.507876289535722,0.4936609862389379,0.006334261059868118,0.004769167973533245,0.0038947342134140455,2001,1,1,267.0
0.0060983046713013744,0.0020241837169337196,0.002043049177406303,0.006164327569959521,0.005053111059861143,0.52952347663987,0.5279456019090757,0.5136410870544202,0.006181870082603347,0.004611883637211739,0.0038925519307970845,2001,1,2,266.3
0.00493962678375412,0.0006701379198918722,0.0,0.002746189067526411,0.0003463862314165289,0.5236980076896182,0.5005151001433059,0.46882590765521126,0.005561898984853125,0.0043207158048508,0.0031888039456739892,2001,1,3,264.15
0.0042383217465544465,3.8555880322532765e-05,0.001151971073951208,0.0,0.0,0.5400093207503207,0.5716366414371974,0.55195184111027,0.005254143547840373,0.004062027827307413,0.004217562368243685,2001,1,4,263.7
0.004055372606415447,0.001388011691611707,0.0017022347687652428,0.0018460642897503432,0.0017130863102956806,0.5423395083304201,0.5397381540700611,0.5474080798656292,0.004933007439653164,0.0038421878021009936,0.0047960621356803795,2001,1,0,263.5
